Category,Keyword,Frequency,Context
Culture,god,5,"Families joining together to eat big meals every Sunday and for important celebrations because just like the culture the religion also plays a big part and so people see the preparation of food as their way of expressing how they feel for their God."
Culture,religion,3,Our religion does have a lot of impact on the lifestyle of the people and whatever the Ministry says
Culture,tradition,3,Traditional food has been replaced by cheap foods high in calories but with little nutritional value. 
Culture,culture,12,Providing bountiful food is a sign of respect a culture hard to combat if you have a guest coming to your house and you're welcome …
Culture,church,12,"He's among many who criticise church leaders for failing to set a good example to their parishioners.<br>Eventually she had the leg amputated, and this year received a prosthetic leg from the Mormon church.<br>The Government needs to work with the churches because a major part of the Government budget is health sectors and the quicker they can turn around the lifestyle the less money they spend on the health sectors.<br>...church members will eat three meals a day each prepared by a different congregation or village they are showing some restraint in previous years that you see four meals a day. "
Culture,clinic,9,"Clinic walls are covered with government posters warning of the dangers of junk food but despite her poor health.<br>""If you consider the reduction in life expectancy as a big issue these are crisis the hospital clinic treat sepsis missing toes and foot ulcers every day one in ten Tommen's are diabetic ..."""
Culture,village,9,"To overcome the lack of access to green vegetables many villages are setting up communal gardens.<br>Zumba is now the most popular exercise in Samoan villages."
Culture,school,8,"I grew up in a society that you go to school with a coconut in one hand and a pawpaw in the other hand.<br>""… in the 50 60 s when we come back from school and fishing here to do is go out in the plantations to fetch our food or to go out fishing…"""
Culture,society,6,"""I grew up in a society that you go to school with a coconut in one hand and a pawpaw in the other hand.""
But there's no question the role that society plays here. ""The bigger you are, that's beauty,"" says Drew Havea, chair of the civil Society Forum of Tonga."
Culture,education,5,"Most of our diabetic clients were pretty much having to start from the beginning on education and getting them to be aware of nutrition.<br>People don't have the education to know what is bad for their health."
Food,food,127,"Now Samoa is dependent on imported food. Tin meats, noodles, sweets and soft drinks. Traditional food has been replaced by cheap foods high in calories but with little nutritional value. 
It's about getting enough of the right foods out there ...that are available and cheap. "
Food,diet,38,It has been more rapid in the Pacific Islands because of how quickly the change in diet and lifestyle has occurred.
Food,sugar,23,"Until recently he was drinking two liters of sugar packed fizzy drink every day...<br>If she doesn't cut down on sugar she risks losing her baby have you changed your diet since you had diabetes…"
Food,vegetable,18,"Very small supply of green leafy vegetables available locally, everything had to be imported from the other Island, or even from overseas at times.<br>It says many Pacific islanders have replaced their traditional diets of vegetables and fruits with imported processed foods.<br>It was a wake up call for us, to save the whole leg by teaching and making a lot of food with vegetables.<br>The problem in Samoa is it's very hard to obtain vegetables, the original diet, nuts, fruits, and grains."
Food,mutton flap,17,"""And you have a situation where fishermen spear their fish - sell it - and go and buy mutton flaps. People don't have the education to know what is bad for their health.""
<br>There's this whole generation in Tonga that was brought up on mutton flaps,""
In the last few decades mutton flaps from New Zealand have become a Samoan favourite there's a lot of fat."
Food,fish,16,"A long time ago that food was good food, so the culturally appropriate things where there was exchange of food was always good food, fresh fish, taro from the plantation, and things were baked in the earth oven. "
Food,turkey tail,16,Turkey tails are the fattiest part of the bird a gland that produces oil for feathers they're imported from America
Food,fruit,14,"I always encourage them to eat vegetables and fruit
because I know diabetes is not our friend."
Food,meat,14,"Thanks to the spread of Western fast food, diets which a generation ago largely consisted of fish and coconuts are now dominated by processed meat"
